benchmark,solver,type,size,time
Uniform_by_x,CPAM-H,1,2919,2.500000e-05
Uniform_by_x,CPAM-H,1,1235,1.200000e-05
Uniform_by_x,CPAM-H,1,164,3.000000e-06
Uniform_by_x,CPAM-H,1,1071,1.000000e-05
Uniform_by_x,CPAM-H,1,1060,1.100000e-05
Uniform_by_x,CPAM-H,1,808,8.000000e-06
Uniform_by_x,CPAM-H,1,252,6.000000e-06
Uniform_by_x,CPAM-H,1,1684,1.700000e-05
Uniform_by_x,CPAM-H,1,1683,1.600000e-05
Uniform_by_x,CPAM-H,1,1225,1.300000e-05
Uniform_by_x,CPAM-H,1,1043,1.200000e-05
Uniform_by_x,CPAM-H,1,584,8.000000e-06
Uniform_by_x,CPAM-H,1,459,7.000000e-06
Uniform_by_x,CPAM-H,1,182,7.000000e-06
Uniform_by_x,CPAM-H,1,458,7.000000e-06
Uniform_by_x,CPAM-H,1,2948,3.900000e-05
Uniform_by_x,CPAM-H,1,2464,2.300000e-05
Uniform_by_x,CPAM-H,1,2241,2.200000e-05
Uniform_by_x,CPAM-H,1,160,5.000000e-06
Uniform_by_x,CPAM-H,1,2081,3.100000e-05
Uniform_by_x,CPAM-H,1,1013,1.200000e-05
Uniform_by_x,CPAM-H,1,949,7.000000e-06
Uniform_by_x,CPAM-H,1,1068,1.300000e-05
Uniform_by_x,CPAM-H,1,979,1.000000e-05
Uniform_by_x,CPAM-H,1,223,6.000000e-06
Uniform_by_x,CPAM-H,1,484,1.000000e-05
Uniform_by_x,CPAM-H,1,608,1.400000e-05
Uniform_by_x,CPAM-H,1,2075,3.700000e-05
Uniform_by_x,CPAM-H,1,1127,1.200000e-05
Uniform_by_x,CPAM-H,1,569,9.000000e-06
Uniform_by_x,CPAM-H,1,558,1.000000e-05
Uniform_by_x,CPAM-H,1,948,1.300000e-05
Uniform_by_x,CPAM-H,1,8034,1.840000e-04
Uniform_by_x,CPAM-H,1,2962,4.700000e-05
Uniform_by_x,CPAM-H,1,1182,1.200000e-05
Uniform_by_x,CPAM-H,1,647,7.000000e-06
